l1_subset,l1_algo,l2_subset,l2_algo,accuracy,macro_f1,weighted_f1,false_alarm_rate,forwarded,recall_Normal,recall_DoS,recall_Probe,recall_R2L,recall_U2R,latency_us
GWO,XGBoost,MVO,CatBoost,0.7833569907735983,0.5432246300589084,0.7424139772697899,0.030686849963958398,0.39952980837473384,0.9693131500360416,0.8146956288549209,0.8265179677819083,0.05737109658678286,0.06,0.4842909227178124
GWO,CatBoost,MVO,Extra Trees,0.7860628105039035,0.5425003350173345,0.7493748991066855,0.029966017917825147,0.4081352022711143,0.9700339820821748,0.8159023866988468,0.835605121850475,0.06499636891793754,0.07,2.0882770016923615
GWO,LightGBM,GA,XGBoost,0.77861071682044,0.5418971194689861,0.7387504224297751,0.030583873957367932,0.39571504613200853,0.969416126042632,0.805443818718155,0.8095828170177612,0.05809731299927379,0.06,0.7970518199776448
PSO,GBM,MVO,Extra Trees,0.7781227821149752,0.5418185720424458,0.7521102124395158,0.03140768201009165,0.4156760113555713,0.9685923179899083,0.7855993563958166,0.8029739776951673,0.11946259985475671,0.02,1.9763437335303071
GWO,CatBoost,GA,Random Forest,0.7787437899219305,0.5417862767060766,0.7384583436896522,0.029966017917825147,0.4081352022711143,0.9700339820821748,0.7939125770984178,0.835605121850475,0.06427015250544663,0.075,1.945451868468
GWO,CatBoost,MFO,CatBoost,0.7779453513129879,0.5412975447141745,0.7377524066627035,0.029966017917825147,0.4081352022711143,0.9700339820821748,0.7910968087959238,0.8364312267657993,0.06463326071169208,0.075,0.8344321723842698
MVO,XGBoost,MFO,Extra Trees,0.7628637331440739,0.5412043993140604,0.7256069210637172,0.060035011842240756,0.4256564939673527,0.9399649881577592,0.7968624296057925,0.8046261875258158,0.05809731299927379,0.095,1.677615305038842
MVO,CatBoost,MFO,Random Forest,0.7840223562810504,0.5410822744810195,0.7439656521412875,0.030171969931006074,0.41727288857345635,0.9698280300689939,0.8101367658889783,0.8446922759190417,0.05737109658678286,0.06,2.2308949359158774
MVO,CatBoost,MVO,Extra Trees,0.7906316536550745,0.5407950094815218,0.7531457968887804,0.030171969931006074,0.41727288857345635,0.9698280300689939,0.8299812282113167,0.8451053283767038,0.05737109658678286,0.06,2.302247351329001
GWO,CatBoost,MFO,Random Forest,0.7791873669268985,0.5405264209070653,0.7387277175598373,0.029966017917825147,0.4081352022711143,0.9700339820821748,0.7963260927862698,0.8360181743081372,0.06136528685548293,0.07,2.0184871032958323
GWO,LightGBM,MVO,XGBoost,0.7802075940383251,0.5402517481445136,0.7395548022505674,0.030583873957367932,0.39571504613200853,0.969416126042632,0.803432555644945,0.8314745972738538,0.05773420479302832,0.055,0.7044042698031238
GWO,CatBoost,GA,GBM,0.7785220014194464,0.5397380369224399,0.7387304635200367,0.029966017917825147,0.4081352022711143,0.9700339820821748,0.7937784928935372,0.8335398595621644,0.06499636891793754,0.07,1.3961255995376485
MVO,LightGBM,MVO,Random Forest,0.7704932576295245,0.539475054452431,0.729405915363108,0.02903923385851097,0.39513839602555,0.9709607661414891,0.7723250201126307,0.8298223874432052,0.05664488017429194,0.08,1.8790126910079532
